"Date","Ordered Product Sales","Ordered Product Sales - B2B","Units Ordered","Units Ordered - B2B","Total Order Items","Total Order Items - B2B","Average Sales per Order Item","Average Sales per Order Item - B2B","Average Units per Order Item","Average Units per Order Item - B2B","Average Selling Price","Average Selling Price - B2B","Sessions","Order Item Session Percentage","Order Item Session Percentage - B2B","Average Offer Count"
"04/13/2020","$0.00","$0.00","0","0","0","0","$0.00","$0.00","0.00","0.00","$0.00","$0.00","19","0.00%","0.00%","3"
"04/14/2020","$12.99","$0.00","1","0","1","0","$12.99","$0.00","1.00","0.00","$12.99","$0.00","5","20.00%","0.00%","3"
"04/15/2020","$59.96","$0.00","4","0","4","0","$14.99","$0.00","1.00","0.00","$14.99","$0.00","63","6.35%","0.00%","3"
"04/16/2020","$59.96","$0.00","4","0","4","0","$14.99","$0.00","1.00","0.00","$14.99","$0.00","68","5.88%","0.00%","3"
"04/17/2020","$89.94","$14.99","6","1","6","1","$14.99","$14.99","1.00","1.00","$14.99","$14.99","62","9.68%","1.61%","3"
"04/18/2020","$74.95","$14.99","5","1","5","1","$14.99","$14.99","1.00","1.00","$14.99","$14.99","46","10.87%","2.17%","3"
"04/19/2020","$14.99","$0.00","1","0","1","0","$14.99","$0.00","1.00","0.00","$14.99","$0.00","55","1.82%","0.00%","3"
"04/20/2020","$0.00","$0.00","0","0","0","0","$0.00","$0.00","0.00","0.00","$0.00","$0.00","66","0.00%","0.00%","3"
"04/21/2020","$29.98","$0.00","2","0","2","0","$14.99","$0.00","1.00","0.00","$14.99","$0.00","31","6.45%","0.00%","3"
"04/22/2020","$14.99","$0.00","1","0","1","0","$14.99","$0.00","1.00","0.00","$14.99","$0.00","37","2.70%","0.00%","3"
"04/23/2020","$59.96","$0.00","4","0","3","0","$19.99","$0.00","1.33","0.00","$14.99","$0.00","28","10.71%","0.00%","3"
"04/24/2020","$0.00","$0.00","0","0","0","0","$0.00","$0.00","0.00","0.00","$0.00","$0.00","18","0.00%","0.00%","3"
"04/25/2020","$64.94","$0.00","6","0","3","0","$21.65","$0.00","2.00","0.00","$10.82","$0.00","34","8.82%","0.00%","3"
"04/26/2020","$99.92","$0.00","8","0","8","0","$12.49","$0.00","1.00","0.00","$12.49","$0.00","82","9.76%","0.00%","3"
"04/27/2020","$122.91","$0.00","9","0","6","0","$20.48","$0.00","1.50","0.00","$13.66","$0.00","129","4.65%","0.00%","3"
"04/28/2020","$0.00","$0.00","0","0","0","0","$0.00","$0.00","0.00","0.00","$0.00","$0.00","9","0.00%","0.00%","3"
"04/29/2020","$14.99","$0.00","1","0","1","0","$14.99","$0.00","1.00","0.00","$14.99","$0.00","9","11.11%","0.00%","3"
"04/30/2020","$11.99","$0.00","1","0","1","0","$11.99","$0.00","1.00","0.00","$11.99","$0.00","9","11.11%","0.00%","3"
"05/01/2020","$11.99","$0.00","1","0","1","0","$11.99","$0.00","1.00","0.00","$11.99","$0.00","9","11.11%","0.00%","3"
"05/02/2020","$0.00","$0.00","0","0","0","0","$0.00","$0.00","0.00","0.00","$0.00","$0.00","5","0.00%","0.00%","3"
"05/03/2020","$26.98","$0.00","2","0","2","0","$13.49","$0.00","1.00","0.00","$13.49","$0.00","18","11.11%","0.00%","3"
"05/04/2020","$71.94","$0.00","6","0","6","0","$11.99","$0.00","1.00","0.00","$11.99","$0.00","114","5.26%","0.00%","3"
"05/05/2020","$86.93","$0.00","7","0","6","0","$14.49","$0.00","1.17","0.00","$12.42","$0.00","132","4.55%","0.00%","3"
"05/06/2020","$65.94","$0.00","6","0","6","0","$10.99","$0.00","1.00","0.00","$10.99","$0.00","140","4.29%","0.00%","3"
"05/07/2020","$125.90","$0.00","10","0","7","0","$17.99","$0.00","1.43","0.00","$12.59","$0.00","104","6.73%","0.00%","3"
"05/08/2020","$264.77","$14.99","23","1","8","1","$33.10","$14.99","2.88","1.00","$11.51","$14.99","97","8.25%","1.03%","3"
"05/09/2020","$65.94","$0.00","6","0","6","0","$10.99","$0.00","1.00","0.00","$10.99","$0.00","86","6.98%","0.00%","3"
"05/10/2020","$97.92","$0.00","8","0","8","0","$12.24","$0.00","1.00","0.00","$12.24","$0.00","67","11.94%","0.00%","3"
"05/11/2020","$147.88","$0.00","12","0","12","0","$12.32","$0.00","1.00","0.00","$12.32","$0.00","161","7.45%","0.00%","3"
"05/12/2020","$219.82","$0.00","18","0","18","0","$12.21","$0.00","1.00","0.00","$12.21","$0.00","189","9.52%","0.00%","3"
"05/13/2020","$169.85","$0.00","15","0","15","0","$11.32","$0.00","1.00","0.00","$11.32","$0.00","155","9.68%","0.00%","3"
